Grams,2.2k-1,2.2k-2,2.2k-3,2.2k-4,2.2k-5,2.2k-6,2.2k-7,2.2k-8,2.2k-9,2.2k-10
0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0
