des_ross_x,des_ross_y,des_ross_theta,des_mon_x,des_mon_y,des_mon_theta,act_ross_x,act_ross_y,act_ross_theta,act_mon_x,act_mon_y,act_mon_theta,act_payload_x,act_payload_y,act_payload_theta,dt,ros_time_ns,ros_time_sec
-0.2702727879545497,0.010071121060203511,0.026590015315854476,0.289443982450446,0.027879459764345013,0.03692454936202738,-0.27947202906937874,0.0024208033265224888,0.00557608769464253,0.2682684044685798,0.006824771047531923,0.06660747640076359,0.009585334919393063,0.018975282087922096,0.03174326679615265,0.02,1755828424805805620,1755828424.8058057
-0.2702727266627103,0.010069217765526554,0.026590015315854476,0.28944392261475793,0.02788136310525627,0.03692454936202738,-0.2794415288929113,0.0024458671555512845,0.005650528328555932,0.2682753183622675,0.00678236598520137,0.06669391877258546,0.009166675619781017,0.02556445263326168,0.0708380059784158,0.008507966995239258,1755828424811710929,1755828424.811711
-0.26922328290975606,0.010099717596920153,0.02580188984199161,0.2904931866180481,0.02791751037073536,0.03773362548401371,-0.27944652736234177,0.002470737136917339,0.005706301686210983,0.2682338395439692,0.006797186953633121,0.0666162765634093,0.009178600274026394,0.025595510378479958,0.07091844689848739,0.0166165828704834,1755828424826947422,1755828424.8269472
-0.26714003743734127,0.010158395195898555,0.02519894137628187,0.2925759556642613,0.02799114782376847,0.03835775906458361,-0.2794206912613427,0.0024621738990692477,0.005653010136774005,0.2682212885779742,0.0067913219820978435,0.06662500554255368,0.009167492389678955,0.025585751980543137,0.07086240656742754,0.020118236541748047,1755828424847036062,1755828424.8470361
-0.2658481940225787,0.010190718210582702,0.0246109408458004,0.293867243158183,0.02804091097001399,0.03897072800298673,-0.27941118771920137,0.002460627151639333,0.005655562654092609,0.26826424795673,0.006795199513046378,0.06666300373229506,0.009181264787912369,0.025586217641830444,0.07083576571883035,0.019901514053344727,1755828424866814886,1755828424.866815
-0.26449822447975213,0.01022329119276513,0.024263476329662303,0.29521655282165454,0.028094163315768732,0.039346929511423934,-0.27941648140910114,0.002466686443796967,0.005680953200434536,0.268285400126191,0.006792125491432932,0.06667787665011371,0.009190734475851059,0.025590498000383377,0.07094441194696219,0.0200650691986084,1755828424887059562,1755828424.8870595
-0.26315617735033187,0.010254147682252154,0.022630324164525373,0.29655784362854065,0.028148692092833195,0.04103979126145996,-0.27943494475428715,0.002450468680083126,0.0055897992921333396,0.2682630941338396,0.006787911011769114,0.06663046006701157,0.009159424342215061,0.025571390986442566,0.07084051862028849,0.02018141746520996,1755828424907413278,1755828424.9074132
-0.26181309445343603,0.010283535452928975,0.021360046844130842,0.2979000705456654,0.02820483358360941,0.04238046938808138,-0.2794235541542442,0.002477078113247086,0.005726755589897415,0.2682265571120951,0.006785130927713948,0.06664477249723966,0.009134083054959774,0.025571240112185478,0.07088471776057577,0.019642114639282227,1755828424926396662,1755828424.9263966
-0.26047006774176584,0.010311448198085407,0.020253993883990073,0.2992421425105121,0.02826253993395875,0.04356371022503591,-0.2794187378136799,0.002475464734486524,0.005658224590743875,0.2682430272081131,0.006792375787897452,0.06666997135181107,0.009165782481431961,0.025585295632481575,0.07084537892135467,0.02001214027404785,1755828424946549107,1755828424.946549
-0.25912698330636164,0.010337900233791912,0.01917754785941206,0.3005841731487488,0.028321819152727648,0.04472872035712605,-0.27943079655972924,0.002459334695170068,0.00566299052017936,0.26829706529521463,0.006780591115702825,0.06678204978270363,0.00918648298829794,0.025588901713490486,0.07090185446361297,0.020218372344970703,1755828424969332334,1755828424.9693322
-0.2577838520460019,0.010362905892248132,0.01810390545623619,0.30192615148833457,0.028382671251237755,0.04590212029786711,-0.27944063381472245,0.0024486436650268673,0.0056145597138907745,0.2685425042102568,0.006737566047641579,0.06685443959963111,0.009339825250208378,0.025552337989211082,0.07044398736920056,0.01992321014404297,1755828424986917022,1755828424.986917
-0.25644067337443627,0.01038647897754412,0.017042464103592003,0.3032680779413292,0.02844509743374532,0.04707443144578205,-0.27945051572444213,0.0024630614714586663,0.005625925690415962,0.2688985026175031,0.006753446832542934,0.0669104166356318,0.009592603892087936,0.025497980415821075,0.06947293789418418,0.01998591423034668,1755828425006986966,1755828425.006987
-0.2550974474215863,0.010408633384851863,0.01599101366992306,0.3046099521678565,0.028509098705494836,0.04824783351621109,-0.27943492868682684,0.0024738016306666416,0.005662134642196806,0.26943496705917236,0.0067348858022905425,0.06713875306193806,0.009890624321997166,0.0254739448428154,0.06840076939287641,0.019968032836914062,1755828425026511416,1755828425.0265114
-0.2537541743082778,0.010429382934750368,0.01494993634527697,0.3059517737899369,0.02857467608417641,0.049421894825141255,-0.27922608981234276,0.0023252199755603165,0.00481266082560521,0.27010544933393155,0.006736501260465572,0.06718492441160429,0.010298538021743298,0.025532737374305725,0.0678089215017534,0.019948482513427734,1755828425046318170,1755828425.046318
-0.25241085411474257,0.010448741407219818,0.013919129995155988,0.30729354242577434,0.028641830568103384,0.050596673057400565,-0.2788443763089165,0.002179708146157172,0.004033812022750676,0.27099950035431536,0.006584531831875774,0.06839819585174389,0.010996819473803043,0.025422202423214912,0.06879757888344348,0.020247936248779297,1755828425067709526,1755828425.0677094
-0.2510674869025143,0.010466722535861665,0.012898572920722273,0.3086352576681957,0.028710563140694957,0.05177214445473988,-0.2784051968776756,0.0020652688268278374,0.003327977647019953,0.2723837613738722,0.00657721963423076,0.0691177608580058,0.011989451013505459,0.02504991926252842,0.0688919485128496,0.019767284393310547,1755828425086340155,1755828425.0863402
