des_ross_x,des_ross_y,des_ross_theta,des_mon_x,des_mon_y,des_mon_theta,act_ross_x,act_ross_y,act_ross_theta,act_mon_x,act_mon_y,act_mon_theta,act_payload_x,act_payload_y,act_payload_theta,ross_cmd_vel_linear_x,ross_cmd_vel_angular_z,monica_cmd_vel_linear_x,monica_cmd_vel_angular_z,dt,ros_time_ns,ros_time_sec
-0.25910164142339764,0.9158777838134331,0.05640392487548329,0.3003010204674821,0.9417362808578893,0.03446552523266,-0.2724560026554882,0.890873492602076,-0.023826314022012664,0.28350577405490196,0.9329900863334503,0.04068230792842353,0.020599426701664925,0.9288070201873779,0.04542142507478094,0.006679851488291693,0.0401472115443069,-0.008400982255572577,0.0,0.02,1756176206142435720,1756176206.1424358
-0.2591037347725628,0.9159231812212066,0.05640392487548329,0.3003031167362068,0.941690883583766,0.03446552523266,-0.27242776541189784,0.8909111962537783,-0.02367992098525887,0.28353703491602433,0.9330089945980424,0.04069716169637472,0.02057785913348198,0.9288289546966553,0.04496597141567546,0.006505175701955525,0.039999145218608555,-0.008510484689986376,0.0,0.014841079711914062,1756176206157394273,1756176206.1573942
-0.2567308663443819,0.9160581174917296,0.0504513362996315,0.3026784716270607,0.9417717829315747,0.04044691780891263,-0.2723926401165766,0.8909013280556112,-0.023688739435367766,0.28355605120331867,0.9330152565541995,0.040592637348249916,0.02044476941227913,0.928809642791748,0.04472291222130573,0.12745145444875766,-0.2629451468144929,-0.12931706843659183,0.29857161840557345,0.02003335952758789,1756176206177488169,1756176206.177488
-0.25534236428114165,0.9161135959851986,0.0482617790441533,0.3040662714504427,0.9418425343412135,0.04265798091085449,-0.27239788897527306,0.8909153859665988,-0.023682082295816278,0.28350466554578346,0.9329623829023695,0.0411446806680833,0.020442022010684013,0.9288116693496704,0.04475952661968755,0.07866267662700244,-0.07449243612225934,-0.08040591570873862,0.11055589638938461,0.01999950408935547,1756176206197388275,1756176206.1973882
-0.2539894622804947,0.916166436952296,0.04654043862778012,0.3054183753051966,0.9419127230475915,0.044404372899140565,-0.2724376795566634,0.8908583060225843,-0.023783132498101336,0.2835307115296988,0.9329866985434689,0.040799690124135424,0.020450487732887268,0.9287933111190796,0.04464605020738461,0.07758458017728764,-0.05157816905434978,-0.0792343556869491,0.08732488766271562,0.019998788833618164,1756176206217848992,1756176206.217849
-0.2526448770850941,0.9162173878854124,0.03827744816733647,0.30676202030716415,0.9419840941158858,0.05269794098838476,-0.27242210565152986,0.8908536485493315,-0.02378181844983984,0.28352820165549264,0.9329944209084544,0.04072718883594062,0.020447714254260063,0.9287894368171692,0.04456388739886376,0.07763095003412278,-0.3850381172016815,-0.07932487800352013,0.41363836772999385,0.0200502872467041,1756176206237315680,1756176206.2373157
-0.2512983761057914,0.9162670692731816,0.03629312963685516,0.30810745234793074,0.9420569721811953,0.054756437813895165,-0.2724026556693617,0.8908506864678473,-0.02381604328023891,0.2835276720728527,0.9330029146367285,0.040621422481011304,0.02046823687851429,0.9287920594215393,0.04448887879586662,0.07857601039682714,-0.06996300301413677,-0.0802744306055298,0.10294334715486385,0.01999640464782715,1756176206257406022,1756176206.257406
-0.24995212270769362,0.916315363957345,0.03539135969359597,0.30945250532743496,0.9421312918484633,0.05572306950014916,-0.2724088324000266,0.8908843296530414,-0.02372362399750946,0.2835370838566851,0.9330217959108213,0.040512542264396156,0.020447518676519394,0.9288151860237122,0.04466521417238402,0.07935038836852575,-0.01588389056953934,-0.08101658265273103,0.04840664726326318,0.01996898651123047,1756176206277905552,1756176206.2779057
-0.2486057550010657,0.9163623070650725,0.03437212941125578,0.31079754180910923,0.9422070651004529,0.05682026893068315,-0.27236434761441874,0.8908525346625707,-0.024003988920233692,0.28353718412591,0.9330077413433943,0.04057480111616485,0.0204682145267725,0.9288146495819092,0.04449030651360271,0.07980653886325123,-0.021848318602219016,-0.08151849725627291,0.05479992331665958,0.020021915435791016,1756176206297295318,1756176206.2972953
-0.24725933214800402,0.9164079078586541,0.03338194152783913,0.3121425026485675,0.9422842914202986,0.057898355404733426,-0.2716853736281838,0.8906091838577574,-0.02517293909599064,0.28363282041909477,0.9329946240351734,0.040999998409044114,0.020857879891991615,0.9287556409835815,0.0465386881422666,0.08002957273115793,-0.019971750757161684,-0.08229650751430335,0.05400351610441616,0.01996326446533203,1756176206317344716,1756176206.3173447
-0.24591284568530353,0.9164521795724851,0.03239883454235093,0.31348739637262385,0.9423629724112295,0.05897986580319303,-0.2710817600347498,0.8905765269845991,-0.02548682142274489,0.2839541743504179,0.9331134687545145,0.04048592743351476,0.02124798856675625,0.9285827279090881,0.04915591003329655,0.08033057477133855,-0.02026816719308198,-0.08258118158268135,0.05408201857862465,0.019997596740722656,1756176206337279264,1756176206.3372793
-0.2445662971855638,0.9164951348397522,0.031425341410513674,0.31483222142270006,0.9424431093055928,0.060062118563565026,-0.27047816060240903,0.8904458807965397,-0.02590360910815566,0.2842780647513229,0.9328663234581378,0.041599771827433685,0.021696167066693306,0.9284034967422485,0.04990849987214921,0.08064988802193204,-0.019942814959893383,-0.08303249243880748,0.054070792269768,0.020015478134155273,1756176206357499972,1756176206.3574998
-0.24321968678441444,0.9165367863234202,0.030461275168953694,0.3161769776382432,0.9425247033774009,0.061145274389444726,-0.26980652086585766,0.8902748667219744,-0.026583880800108924,0.28510279900336233,0.9326207790518616,0.043007578907853006,0.022520536556839943,0.9281534552574158,0.04792277461432347,0.08103115615331394,-0.019504107584696284,-0.08311417759409974,0.054171404198539684,0.01999497413635254,1756176206377441938,1756176206.3774421
