des_ross_x,des_ross_y,des_ross_theta,des_mon_x,des_mon_y,des_mon_theta,act_ross_x,act_ross_y,act_ross_theta,act_mon_x,act_mon_y,act_mon_theta,act_payload_x,act_payload_y,act_payload_theta,ross_cmd_vel_linear_x,ross_cmd_vel_angular_z,monica_cmd_vel_linear_x,monica_cmd_vel_angular_z,dt,ros_time_ns,ros_time_sec
-0.25944912990136904,0.907297581498959,0.06662617497915813,0.29966387075375467,0.9388039697150603,0.04445598201025325,-0.2715188697133283,0.889550509354013,-0.020151203668924967,0.2823460552427721,0.935941421413183,0.025917731137817146,0.020107107236981392,0.9230507612228394,0.05552845683141161,0.006037283853942014,0.04342340027550084,-0.008662371318593471,0.0,0.02,1756177750749425335,1756177750.7494254
-0.2594490837966963,0.9072967698513914,0.06662617497915813,0.299663825380025,0.9388047814031137,0.04445598201025325,-0.27158055081336707,0.8894575452919753,-0.020338043801370602,0.2823460552427721,0.935941421413183,0.025917731137817146,0.02007656916975975,0.9230482578277588,0.055696454489942475,0.006267451464032672,0.04408282165055726,-0.00864918582961611,0.0,0.003335237503051758,1756177750752697805,1756177750.752698
-0.25875113785094334,0.9074122798380657,0.06662617497915813,0.3003703694618862,0.9387673441854638,0.04445598201025325,-0.27150644917807537,0.8895475582938036,-0.020010708842879296,0.2823800557378657,0.9359950763491648,0.0258306312743537,0.020086172968149185,0.9230359196662903,0.05565244642586355,0.041583047392870484,0.04322999287500702,-0.04465695623034361,0.0,0.020005226135253906,1756177750772804719,1756177750.7728045
-0.2564260379721677,0.9075352885141286,0.05984872360752558,0.30269477092760533,0.9389028044384662,0.05126847686946556,-0.27151331326063644,0.8894963091758756,-0.020165965907728532,0.2824338226804408,0.9359640825225801,0.02575385757671933,0.02009887807071209,0.9230379462242126,0.055397275425882506,0.12480957253589482,-0.3015928247408308,-0.12733422097018374,0.34015064269101875,0.020027875900268555,1756177750792940470,1756177750.7929406
-0.2551497013666672,0.9075987129089257,0.05790586108037532,0.30397026316332654,0.9389812759651607,0.05323307450183945,-0.2715732220605963,0.889531049068733,-0.02032686449199146,0.2823748666177871,0.9359532307342155,0.025879085455473128,0.020076829940080643,0.9230291247367859,0.055642444301766854,0.07284016475070433,-0.05897963263449459,-0.075387235827168,0.09843062423527835,0.019959211349487305,1756177750812873174,1756177750.8128731
-0.2537907640524581,0.9076654212688106,0.05650264158059182,0.3053282068396504,0.9390656822318918,0.05466138327405101,-0.27154081892226367,0.8895463600799125,-0.02007278120918025,0.2823792948285605,0.9359594616333811,0.025888126393577515,0.020078890025615692,0.92303067445755,0.05551550649907752,0.07750944322199237,-0.03254221124457789,-0.08007805370355346,0.07142487268580676,0.019997358322143555,1756177750832682512,1756177750.8326826
-0.2524439389457544,0.9077301556398175,0.0478282655593123,0.30667388879341273,0.9391507651857031,0.06338396539426094,-0.2715262938104917,0.8895301991059725,-0.020103889318048376,0.2823645122116042,0.9359789502047604,0.02586082086866881,0.020083565264940262,0.9230476021766663,0.055461670649696065,0.07739060971571259,-0.40273784066938034,-0.07996758341133454,0.43499388950864987,0.020052194595336914,1756177750856534280,1756177750.8565342
-0.25109543050809163,0.9077936696887938,0.04660104816878885,0.3080211020346379,0.9392373182906155,0.06467477638506436,-0.27152972221749805,0.8894839121312008,-0.020223722650214774,0.28240157592503895,0.9359761424041848,0.0257646476521578,0.020076343789696693,0.9230434894561768,0.05542725032288218,0.07848083263508374,-0.0284057040269415,-0.08099508231909777,0.06467244462725588,0.019959211349487305,1756177750873450252,1756177750.8734503
-0.24974703742587145,0.9078558856456042,0.04565099998162836,0.3093680492789692,0.9393252329384622,0.0656919100063873,-0.27152972221749805,0.8894839121312008,-0.020223722650214774,0.28240157592503895,0.9359761424041848,0.0257646476521578,0.020076343789696693,0.9230434894561768,0.05542725032288218,0.07902004498071541,-0.01479591809987204,-0.08154741419556022,0.050862186492713096,0.019997835159301758,1756177750893478399,1756177750.8934784
-0.24839855067176422,0.9079168244825635,0.04471048710056991,0.3107149394818166,0.9394145248475378,0.06670993532770764,-0.2715256485581057,0.8895387890173193,-0.020115057519252123,0.28239036247659277,0.9359698722971868,0.02585676428717454,0.020088357850909233,0.9230523705482483,0.05553740196460897,0.07823464453119487,-0.01384376843401483,-0.08077152392943208,0.04981168765314422,0.02043747901916504,1756177750917614401,1756177750.9176142
-0.24704999389377946,0.90797649767532,0.04377479175544918,0.3120617492759594,0.9395051933301666,0.06773299013226097,-0.27152767416289414,0.8895865135947508,-0.020043879348592968,0.282401490429621,0.9359738450367002,0.02583660012743394,0.02008441835641861,0.9230520129203796,0.05569123757925246,0.08188683016129843,-0.016125051283182763,-0.08439179499168198,0.052285306985064714,0.019566774368286133,1756177750933577997,1756177750.933578
-0.24570136526494207,0.9080349172522194,0.04284932490977367,0.3134084806401809,0.9395972399162703,0.0687556742833273,-0.27152142668283097,0.8895328369399095,-0.020066044558069228,0.2823747719531555,0.9359699034665662,0.02585980462970472,0.02007804997265339,0.9230430126190186,0.05558847063189093,0.08107111788878434,-0.014952515891134562,-0.08361021007305508,0.05114645059444923,0.01999521255493164,1756177750954412975,1756177750.954413
-0.24435266539717165,0.9080920952384774,0.04193248260053872,0.31475513309762404,0.9396906658122068,0.06977955055195206,-0.27154515501045373,0.8894788949823755,-0.020245082739664102,0.28244256916554483,0.9359229942541726,0.02601805173052618,0.020122729241847992,0.9230223894119263,0.05540582837568354,0.08166295598891693,-0.014702084053061504,-0.08408670169849536,0.05111708242867614,0.02003002166748047,1756177750975719394,1756177750.9757195
