des_ross_x,des_ross_y,des_ross_theta,des_mon_x,des_mon_y,des_mon_theta,act_ross_x,act_ross_y,act_ross_theta,act_mon_x,act_mon_y,act_mon_theta
0.5737164742880708,0.43173815876716304,0.05616826409362785,1.1333098966684187,0.453073613499825,0.024697287637971854,-1.278287810382678,0.283899089380158,-0.05859796138455061,-1.6014774151187035,-0.4251829338834501,1.5946125855025293
0.5760430074249289,0.4318685309419567,0.055800932226470756,1.1356391981380267,0.4531312527665549,0.02478938649270379,-1.2786584817815738,0.28404076480189816,-0.05713817311369826,-1.6024652422038779,-0.4252789681273887,1.5946128335704268
0.5783706992013562,0.4319981137026039,0.0554363800275568,1.1379696096666776,0.4531891355284927,0.024882666438527323,-1.2783214052114706,0.2838762558709144,-0.05864691244076285,-1.6015320333259786,-0.42518395529878983,1.594563092660833
0.5806995340203496,0.43212691183153623,0.0550745801031316,1.1403011161371601,0.4532472643939944,0.024977146835919672,-1.2786485175130002,0.2837353144234155,-0.0583862398888807,-1.601152993453821,-0.42516403780585155,1.5947375321238715
0.5830294962778296,0.43225493007265253,0.054715505242648454,1.1426337024152469,0.4533056420157469,0.02507284698341561,-1.278318952587323,0.2838683923828744,-0.058619523161143446,-1.6013131155285076,-0.425188310759972,1.5946616637414042
0.5853605703627665,0.43238217313126165,0.05435912841195911,1.144967353349909,0.4533642710907437,0.02516978612520404,-1.2784153988419484,0.2838279691805766,-0.058373435573861876,-1.6015687205285785,-0.4251890845467833,1.5946886771440527
0.5876927406572893,0.4325086456743447,0.05400542274776532,1.1473020537735383,0.4534231543599387,0.025267983456815468,-1.2783013529530365,0.28384932944104907,-0.0589070062585779,-1.6015117335225124,-0.4251956269557041,1.594669480635212
0.5900259915368183,0.43263435233042213,0.053654361562552655,1.1496377885021594,0.45348229460830236,0.02536745811883101,-1.2782642802614776,0.2838831879401595,-0.058663442889862125,-1.601156336921461,-0.4251393766172863,1.594553431509072
0.59236030737018,0.4327592976897665,0.05330591833140863,1.1519745423356458,0.45354169466452454,0.025468229210292126,-1.2782728671871109,0.28388281163784773,-0.05876283371138088,-1.6013846870428141,-0.4251654926043764,1.5945492900380476
0.5946956725197331,0.43288348630439477,0.052960066699028197,1.1543123000579316,0.4536013574009421,0.025570315779646968,-1.278308794141783,0.28388191528878043,-0.05873339564589568,-1.6028615723479733,-0.425332288841497,1.594720580485454
0.597032071341493,0.4330069226881797,0.05261678046893348,1.1566510464372257,0.45366128573334824,0.025673736836756778,-1.2786604940990594,0.28378052561348177,-0.058158163838550804,-1.60213706754059,-0.4252652197866744,1.5947202771484454
0.5993694881852608,0.4331296113168492,0.05227603360605748,1.1589907662262204,0.45372148262090867,0.025778511350062594,-1.2783045680601006,0.2838914955863695,-0.058808556260103895,-1.6023771844885542,-0.4252889025692831,1.5948675295019497
0.6017079073947479,0.4332515566280842,0.05193780023076977,1.1613314441623004,0.453781951065985,0.02588465825002917,-1.2782603113646822,0.2838772743272987,-0.058732554246930156,-1.6025916034153742,-0.4252811915677823,1.5947203862413837
0.6040473133077051,0.43337276302160954,0.05160205462027179,1.1636730649677536,0.45384269411396305,0.025992196430394632,-1.278288239124068,0.2838680782977329,-0.05879910575112549,-1.6020211319889515,-0.4252297992464934,1.5947134718411617
0.6063876902560555,0.43349323485916225,0.0512687712010349,1.1660156133499742,0.4539037148532018,0.026101144752597172,-1.2783140455675515,0.2838779152260566,-0.058736554923821786,-1.6009075324117588,-0.4251241721836655,1.5946007423145812
0.6087290225660252,0.4336129764645776,0.050937924546556435,1.1683590740016694,0.4539650164148667,0.026211522048676272,-1.2783026049347082,0.28387485216970004,-0.05879779876160488,-1.601612514784712,-0.4252000626140216,1.594637955799534
0.6110712945582727,0.4337319921238852,0.050609489380029515,1.1707034316010647,0.4540266019727545,0.026323347118938134,-1.2782193646599136,0.28418895359014007,-0.057834822321697274,-1.602140206878988,-0.4252674933519587,1.5948839558612184
0.6134144905480281,0.4338502860852957,0.050283440565086046,1.173048670812106,0.4540884747432225,0.02643663873993951,-1.2782671882484005,0.2838440518039061,-0.059022314400430674,-1.6020182167765014,-0.4252384546941115,1.594737177899413
0.6157585948452231,0.43396786255928876,0.04995975310710499,1.1753947762846602,0.4541506379850212,0.026551415662346756,-1.2783044889901423,0.2838411925055213,-0.05903922457382855,-1.6010063362072697,-0.42516734286624114,1.5948958239609239
0.6181035917546347,0.43408472571856094,0.049638402149140504,1.1777417326547164,0.45421309499926554,0.026667696615640946,-1.2782771181325778,0.2838932070274602,-0.05873173782611637,-1.6012803393645776,-0.42518021787201477,1.594662760135621
0.620449465576013,0.4342008796982358,0.049319362971450786,1.1800895245445864,0.4542758491291427,0.026785500308313726,-1.2782591402137973,0.28386796604337033,-0.05876481376585443,-1.6018185255545572,-0.42525107348044644,1.5949000445831838
0.6227962006042297,0.4343163285957319,0.04900261098455072,1.1824381365631003,0.4543389037599638,0.026904845433409097,-1.2782140921318608,0.28389320256646616,-0.05868790325755919,-1.601409453739941,-0.4251889742672335,1.5948625711383644
0.6251437811294117,0.4344310764709059,0.04868812172985626,1.1847875533058054,0.4544022623189387,0.02702575066874502,-1.2782410177246164,0.2838739104875833,-0.058759070453851765,-1.6024859638046307,-0.4253127682875197,1.5949009935792176
0.6274921914370891,0.43454512734600315,0.04837587087861328,1.1871377593551613,0.45446592827514787,0.02714823467715588,-1.2782837481636005,0.2838928799882583,-0.058660561401376723,-1.6015213645415178,-0.4252218380215824,1.5948068591475226
0.6298414158083273,0.4346584852058086,0.048065834226098225,1.189488739280732,0.45452990513930364,0.027272316110305894,-1.2786232172958565,0.28367076058411295,-0.058562952233158105,-1.6014060330295405,-0.42518924449156215,1.5947652853006873
0.6321914385198818,0.4347711539975509,0.047757987688481496,1.1918404776393843,0.4545941964637718,0.027398013614707395,-1.2782725150862977,0.2838843442186444,-0.05879156118118643,-1.60156226306434,-0.42522083889258633,1.5947892032442443
0.6345422438443379,0.43488313763094544,0.04745230730742023,1.1941929589754712,0.4546588058424428,0.02752534582483568,-1.2786054428384015,0.2833850175819681,-0.059932689402140395,-1.602092651203868,-0.4252552003047235,1.594806819666083
0.636893816050256,0.4349944399783411,0.047148769236645016,1.1965461678210338,0.4547237369105088,0.02765433137568074,-1.2782636671262226,0.2838921162215253,-0.058582634791530495,-1.6015935762494578,-0.42519080750851523,1.5945831422463916
